Frequency_Hz,C3,C4,O1,O2,Fp1,Fp2,Cz,Pz
1.075000e+01,2.867580e+01,1.737766e+01,4.151536e+01,2.915334e+01,1.903625e+01,1.605027e+01,2.062643e+01,2.952395e+01
1.100000e+01,2.916692e+01,2.155700e+01,3.822136e+01,3.972833e+01,1.251734e+01,1.317018e+01,2.244900e+01,3.123828e+01
1.125000e+01,3.382280e+01,1.775708e+01,4.108093e+01,4.469742e+01,1.836216e+01,1.906051e+01,2.257836e+01,2.918208e+01
1.150000e+01,5.032781e+01,2.625185e+01,4.640721e+01,5.090986e+01,2.049345e+01,1.934274e+01,2.828623e+01,3.116405e+01
1.175000e+01,5.678091e+01,3.149662e+01,5.111126e+01,4.439178e+01,2.840241e+01,2.931745e+01,2.529777e+01,2.801519e+01
1.200000e+01,6.416396e+01,2.844136e+01,5.144907e+01,5.219235e+01,2.431442e+01,2.205850e+01,2.437842e+01,2.535147e+01
1.225000e+01,9.317931e+01,4.742093e+01,7.192796e+01,6.570576e+01,3.292197e+01,2.885846e+01,4.090624e+01,4.292826e+01
1.250000e+01,7.072909e+01,5.354758e+01,6.533120e+01,5.670045e+01,4.652249e+01,4.358694e+01,3.935817e+01,3.472272e+01
1.275000e+01,4.758913e+01,3.234356e+01,6.275694e+01,5.790062e+01,4.697605e+01,4.459704e+01,3.754864e+01,3.559897e+01
1.300000e+01,2.937048e+01,1.970075e+01,4.108488e+01,3.158671e+01,2.399112e+01,2.236646e+01,2.797205e+01,2.563986e+01
1.325000e+01,2.209903e+01,1.556265e+01,6.263180e+01,4.070372e+01,1.627864e+01,1.500647e+01,1.742407e+01,2.620014e+01
1.350000e+01,1.897658e+01,1.268243e+01,6.677149e+01,5.721825e+01,1.558503e+01,1.290877e+01,1.770790e+01,3.426481e+01
1.375000e+01,2.088255e+01,1.572581e+01,5.664794e+01,5.879442e+01,1.578410e+01,1.411924e+01,2.109674e+01,3.687036e+01
1.400000e+01,2.081126e+01,1.518131e+01,4.496696e+01,4.739679e+01,1.797966e+01,1.479082e+01,2.109456e+01,3.025034e+01
1.425000e+01,1.609989e+01,1.328010e+01,3.409879e+01,4.431605e+01,1.491226e+01,1.269874e+01,1.816856e+01,2.237151e+01
1.450000e+01,1.755807e+01,9.936463e+00,4.005179e+01,4.175950e+01,1.301402e+01,1.120887e+01,1.650389e+01,1.961041e+01
1.475000e+01,1.806948e+01,9.420524e+00,3.257951e+01,3.371512e+01,1.465072e+01,1.085490e+01,1.694133e+01,1.814974e+01
1.500000e+01,1.710093e+01,9.246044e+00,3.665497e+01,2.997828e+01,1.261327e+01,8.333656e+00,1.482786e+01,1.826665e+01
1.525000e+01,1.880755e+01,1.123037e+01,4.945105e+01,4.689339e+01,1.166671e+01,7.933424e+00,1.584864e+01,2.134934e+01
1.550000e+01,1.724456e+01,1.233703e+01,3.062439e+01,3.341396e+01,1.181587e+01,9.244563e+00,1.770432e+01,1.712421e+01
1.575000e+01,1.351923e+01,9.719258e+00,3.185448e+01,2.518745e+01,1.181862e+01,8.553969e+00,1.402039e+01,1.711186e+01
1.600000e+01,1.535312e+01,1.190031e+01,2.500190e+01,2.172013e+01,1.213214e+01,9.600894e+00,1.725187e+01,1.519408e+01
1.625000e+01,1.630229e+01,1.282078e+01,2.639957e+01,2.517310e+01,1.512843e+01,1.110684e+01,1.709917e+01,1.383223e+01
1.650000e+01,1.519636e+01,9.848397e+00,2.436800e+01,2.276270e+01,1.616815e+01,1.181014e+01,1.370458e+01,1.184167e+01
1.675000e+01,1.859136e+01,1.278641e+01,2.803212e+01,2.181435e+01,1.538868e+01,1.306491e+01,1.612168e+01,1.803846e+01
1.700000e+01,1.913838e+01,1.342425e+01,3.030676e+01,2.304056e+01,1.105551e+01,9.324195e+00,1.660554e+01,2.035478e+01
1.725000e+01,1.600360e+01,1.243671e+01,2.824052e+01,2.429426e+01,8.712108e+00,7.795425e+00,1.505568e+01,1.836681e+01
1.750000e+01,1.134540e+01,1.033023e+01,2.419127e+01,2.244285e+01,6.969807e+00,6.354026e+00,1.163245e+01,1.333617e+01
1.775000e+01,1.360305e+01,1.033857e+01,2.683358e+01,2.003358e+01,9.044533e+00,6.269800e+00,1.165682e+01,1.339065e+01
1.800000e+01,1.405722e+01,1.174549e+01,2.583453e+01,2.413437e+01,1.168199e+01,7.431865e+00,1.273765e+01,1.492805e+01
1.825000e+01,1.408082e+01,1.008997e+01,2.455530e+01,2.468267e+01,1.093426e+01,7.357107e+00,1.247092e+01,1.372315e+01
1.850000e+01,1.115446e+01,6.650710e+00,1.964653e+01,1.933481e+01,7.913077e+00,5.744053e+00,1.017988e+01,1.110907e+01
1.875000e+01,1.208479e+01,7.364055e+00,2.025917e+01,1.710380e+01,9.275151e+00,6.501102e+00,1.121616e+01,1.151144e+01
1.900000e+01,1.088349e+01,7.302905e+00,1.628520e+01,1.412733e+01,8.221412e+00,6.227146e+00,1.105202e+01,1.036418e+01
1.925000e+01,1.110456e+01,6.145663e+00,1.272055e+01,1.417785e+01,7.587444e+00,6.219916e+00,1.073291e+01,8.768209e+00
1.950000e+01,1.252615e+01,7.913128e+00,2.098790e+01,1.651740e+01,5.896507e+00,4.765408e+00,1.277492e+01,1.388201e+01
1.975000e+01,9.285548e+00,8.260900e+00,2.096017e+01,1.828768e+01,9.061873e+00,7.848375e+00,9.459239e+00,1.160987e+01
