Channel,Delta,Theta,Alpha,Beta,Gamma
C3,6.679104e+02,2.718268e+02,2.095846e+02,1.836306e+02,4.438361e+01
C4,5.245246e+02,1.818311e+02,1.395731e+02,1.301720e+02,3.617048e+01
O1,7.207375e+02,2.425352e+02,2.538929e+02,3.248856e+02,2.780761e+01
O2,7.616956e+02,2.339571e+02,2.333782e+02,3.108087e+02,3.933254e+01
Fp1,3.180463e+03,4.713428e+02,1.531414e+02,1.563498e+02,9.378501e+01
Fp2,2.757979e+03,3.517711e+02,1.343629e+02,1.117487e+02,4.302469e+01
Cz,7.576032e+02,3.047974e+02,1.624267e+02,1.701013e+02,4.184085e+01
Pz,8.134262e+02,2.409087e+02,1.818444e+02,1.854087e+02,3.595573e+01
